,URl
0,http://1337x.to/torrent/1110018/Blackhat-2015-RUSSIAN-720p-WEB-DL-DD5-1-H264-RUFGT/
1,http://1337x.to/torrent/1122940/Blackhat-2015-x264-1080p-WEB-DL-eng-nl-subs-sharky/
2,http://1337x.to/torrent/1124395/Fast-and-Furious-7-2015-HD-TS-XVID-AC3-HQ-Hive-CM8/
3,http://1337x.to/torrent/1145504/Avengers-Age-of-Ultron-2015-CAM-New-Audio-x264-CPG/
4,http://1337x.to/torrent/1160078/Avengers-age-of-Ultron-2015-HQ-CAM-H264-AC3-MURD3R/
5,http://1337x.to/torrent/294349/American-Idol-S11E04-Auditions-4-HDTV-XviD-FQM-ettv/
6,http://189.cn/dqmh/userCenter/myOrderInfoList.do?method=listMyOrderInfo_new&isVs=no
7,http://2gis.ru/moscow/search/%D0%9F%D0%BE%D0%B5%D1%81%D1%82%D1%8C/tab/firms/zoom/11
8,http://abc.go.com/shows/general-hospital/episode-guide/2015-05/08-friday-may-8-2015
9,http://abc.go.com/shows/the-muppets/video/new-abc-comedy-trailers?cid=abchp_muppets
10,http://abcnews.go.com/US/wireStory/regulators-delays-georgia-nuclear-plant-31020059
11,http://adultfriendfinder.com/css/live_cd/ffadult/english/0/font_face-1427390957.css
12,http://akhbarelyom.com/news/newdetails/410322/1/%D8%A8%D9%88%D8%B6%D9%88%D8%AD.html
13,http://allegro.pl/amadeus-quartet-haydn-string-quartets-collectors-i5207998383.html
14,http://allegro.pl/narzedzia-i-sprzet-warsztatowy-18554?ref=simplified-category-tree
15,http://allegro.pl/royal-string-quartet-music-for-string-quartet-cd-i5262876831.html
16,http://allegro.pl/sexy-g-string-stringi-z-koralikami-must-have-uni-i5039087215.html
17,http://allegro.pl/sporty-strzeleckie-i-myslistwo-13495?ref=simplified-category-tree
18,http://allegro.pl/sporty-towarzyskie-i-rekreacja-13408?ref=simplified-category-tree
19,http://allegro.pl/triumph-miss-sexy-allday-string-stringi-36-s-bez-i4855636396.html
20,http://allegro.pl/triumph-stringi-exquisite-essence-string-stal-38-i5073330901.html
21,http://allegro.pl/wyszczuplajace-body-string-pod-biust-jony-srebra-i5124700240.html
22,http://allrecipes.com/Features/Menu-Planner-2.aspx?lnkid=arm1001&soid=toprightmerch
23,http://allrecipes.com/Recipe/Chef-Johns-French-Toast/Detail.aspx?soid=recs_recipe_3
24,http://allrecipes.com/Recipe/Fluffy-Pancakes-2/Detail.aspx?evt19=1&referringHubId=1
25,http://allrecipes.com/Recipe/Maple-Cookies/Detail.aspx?evt19=1&referringHubId=15041
26,http://allrecipes.com/Recipe/Midwest-Salisbury-Steak/Detail.aspx?soid=recs_recipe_9
27,http://allrecipes.com/Recipe/One-Pan-Orecchiette-Pasta/Detail.aspx?soid=home_pins_2
28,http://allrecipes.com/Recipe/Pesto-Chicken/Detail.aspx?evt19=1&referringHubId=15041
29,http://allrecipes.com/video/466/parmesan-cheese-twists/detail.aspx?prop24=VH_Brands
30,http://allrecipes.com/video/4989/cinnamon-roll-waffles/detail.aspx?prop24=VH_Newest
31,http://allrecipes.com/video/700/sangria-sangria/detail.aspx?prop24=VH_FeaturedVideo
32,http://anandtech.com/show/9199/lg-announces-the-g4-5-5-inch-qhd-with-snapdragon-808
33,http://ap.org/Content/AP-In-The-News/2012/Edwin-Q-White-former-AP-Saigon-chief-dies
34,http://ap.org/Content/AP-In-The-News/2012/Tamara-Lush-named-APs-Tampa-correspondent
35,http://ap.org/Content/AP-In-The-News/2013/AP-names-Moritsugu-bureau-chief-for-Japan
36,http://ap.org/Content/AP-In-The-News/2013/Former-AP-Boston-sports-editor-OHara-dies
37,http://ap.org/Content/AP-In-The-News/2014/AP-names-Kole-news-editor-for-New-England
38,http://ap.org/Content/AP-In-The-News/2014/Former-AP-Latin-America-bureau-chief-dies
39,http://ap.org/Content/AP-In-The-News/2014/Larson-named-APs-West-Africa-bureau-chief
40,http://ap.org/Content/AP-In-The-News/2014/Oskar-Garcia-Named-APs-East-Sports-Editor
41,http://ap.org/Content/AP-In-The-News/2014/Trio-wins-story-of-the-year-Terrill-photo
42,http://ap.org/Content/Press-Release/2013/AP-announces-winners-of-the-2013-Gramlings
43,http://ap.org/Content/Press-Release/2014/Winter-games-style-guide-distributed-by-AP
44,http://archiveofourown.org/tags/The%20Bonny%20Swans%20-%20Loreena%20McKennitt/works
45,http://askubuntu.com/questions/175945/how-to-recover-data-from-the-lostfound-folder
46,http://askubuntu.com/questions/204753/ripping-mp3s-in-rhythmbox-ubuntu-12-10-64-bit
47,http://askubuntu.com/questions/239450/nvidia-7800-gtx-drivers-not-working-for-12-04
48,http://askubuntu.com/questions/514393/how-to-run-installation-cd-for-second-monitor
49,http://askubuntu.com/questions/590630/write-tags-from-collection-to-files-in-amarok
50,http://askubuntu.com/questions/605806/why-deadbeef-cant-display-the-cover-of-m4aaac
51,http://askubuntu.com/questions/623367/ubuntu-15-04-flashes-log-in-screen-then-black
52,http://atwiki.jp/wiki/%E7%AC%AC7%E5%9B%9Emmd%E6%9D%AF%20%E9%96%89%E4%BC%9A%E5%BC%8F
53,http://avxhome.se/comics/batman_-_arkham_knight_004_2015_digital_print_version.html
54,http://babal.net/downloads_details/535/VA---100-minutes-of-lounge-Music-Vol.-1-2014
55,http://babal.net/photos/215/%D8%B5%D9%88%D8%B1-%D9%85%D9%82%D9%88%D9%84%D8%A7%D8%AA
56,http://bdnews24.com/bangladesh/2015/05/12/38kg-gold-recovered-at-chittagong-airport
57,http://bdnews24.com/environment/2015/05/02/dead-zones-found-in-atlantic-open-waters
